QueryTaxID,TaxID,Rank,ScientificName
10586,2731342,clade,Monodnaviria
10586,2732092,kingdom,Shotokuvirae
10586,2732415,phylum,Cossaviricota
10586,2732421,class,Papovaviricetes
10586,2732533,order,Zurhausenvirales
10586,151340,family,Papillomaviridae
10586,2169595,subfamily,Firstpapillomavirinae
10586,333750,genus,Alphapapillomavirus
10586,337041,species,Alphapapillomavirus 9
QueryTaxID,TaxID,Rank,ScientificName
10587,10587,serotype,human papillomavirus 35
10587,10239,superkingdom,Viruses
10587,2731342,clade,Monodnaviria
10587,2732092,kingdom,Shotokuvirae
10587,2732415,phylum,Cossaviricota
10587,2732421,class,Papovaviricetes
10587,2732533,order,Zurhausenvirales
10587,151340,family,Papillomaviridae
10587,2169595,subfamily,Firstpapillomavirinae
10587,333750,genus,Alphapapillomavirus
10587,337041,species,Alphapapillomavirus 9
QueryTaxID,TaxID,Rank,ScientificName
10588,10588,serotype,human papillomavirus 39
10588,10239,superkingdom,Viruses
10588,2731342,clade,Monodnaviria
10588,2732092,kingdom,Shotokuvirae
10588,2732415,phylum,Cossaviricota
10588,2732421,class,Papovaviricetes
10588,2732533,order,Zurhausenvirales
10588,151340,family,Papillomaviridae
10588,2169595,subfamily,Firstpapillomavirinae
10588,333750,genus,Alphapapillomavirus
10588,337042,species,Alphapapillomavirus 7
QueryTaxID,TaxID,Rank,ScientificName
10589,10589,serotype,Human papillomavirus type 41
10589,10239,superkingdom,Viruses
10589,2731342,clade,Monodnaviria
10589,2732092,kingdom,Shotokuvirae
10589,2732415,phylum,Cossaviricota
10589,2732421,class,Papovaviricetes
10589,2732533,order,Zurhausenvirales
10589,151340,family,Papillomaviridae
10589,2169595,subfamily,Firstpapillomavirinae
10589,475861,genus,Nupapillomavirus
10589,334205,species,Nupapillomavirus 1
QueryTaxID,TaxID,Rank,ScientificName
10590,10590,serotype,human papillomavirus 42
10590,10239,superkingdom,Viruses
10590,2731342,clade,Monodnaviria
10590,2732092,kingdom,Shotokuvirae
10590,2732415,phylum,Cossaviricota
10590,2732421,class,Papovaviricetes
10590,2732533,order,Zurhausenvirales
10590,151340,family,Papillomaviridae
10590,2169595,subfamily,Firstpapillomavirinae
10590,333750,genus,Alphapapillomavirus
10590,337048,species,Alphapapillomavirus 1
QueryTaxID,TaxID,Rank,ScientificName
10591,10591,serotype,human papillomavirus 43
10591,10239,superkingdom,Viruses
10591,2731342,clade,Monodnaviria
10591,2732092,kingdom,Shotokuvirae
10591,2732415,phylum,Cossaviricota
10591,2732421,class,Papovaviricetes
10591,2732533,order,Zurhausenvirales
10591,151340,family,Papillomaviridae
10591,2169595,subfamily,Firstpapillomavirinae
10591,333750,genus,Alphapapillomavirus
10591,333757,species,Alphapapillomavirus 8
QueryTaxID,TaxID,Rank,ScientificName
10592,10592,serotype,human papillomavirus 44
10592,10239,superkingdom,Viruses
10592,2731342,clade,Monodnaviria
10592,2732092,kingdom,Shotokuvirae
10592,2732415,phylum,Cossaviricota
10592,2732421,class,Papovaviricetes
10592,2732533,order,Zurhausenvirales
10592,151340,family,Papillomaviridae
10592,2169595,subfamily,Firstpapillomavirinae
10592,333750,genus,Alphapapillomavirus
10592,333754,species,Alphapapillomavirus 10
QueryTaxID,TaxID,Rank,ScientificName
10593,10593,serotype,human papillomavirus 45
10593,10239,superkingdom,Viruses
10593,2731342,clade,Monodnaviria
10593,2732092,kingdom,Shotokuvirae
10593,2732415,phylum,Cossaviricota
10593,2732421,class,Papovaviricetes
10593,2732533,order,Zurhausenvirales
10593,151340,family,Papillomaviridae
10593,2169595,subfamily,Firstpapillomavirinae
10593,333750,genus,Alphapapillomavirus
10593,337042,species,Alphapapillomavirus 7
QueryTaxID,TaxID,Rank,ScientificName
10594,10594,serotype,human papillomavirus 47
10594,10239,superkingdom,Viruses
10594,2731342,clade,Monodnaviria
10594,2732092,kingdom,Shotokuvirae
10594,2732415,phylum,Cossaviricota
10594,2732421,class,Papovaviricetes
10594,2732533,order,Zurhausenvirales
10594,151340,family,Papillomaviridae
10594,2169595,subfamily,Firstpapillomavirinae
10594,333922,genus,Betapapillomavirus
10594,337051,species,Betapapillomavirus 1
QueryTaxID,TaxID,Rank,ScientificName
10595,10595,serotype,human papillomavirus 51
10595,10239,superkingdom,Viruses
10595,2731342,clade,Monodnaviria
10595,2732092,kingdom,Shotokuvirae
10595,2732415,phylum,Cossaviricota
10595,2732421,class,Papovaviricetes
10595,2732533,order,Zurhausenvirales
10595,151340,family,Papillomaviridae
10595,2169595,subfamily,Firstpapillomavirinae
10595,333750,genus,Alphapapillomavirus
10595,337044,species,Alphapapillomavirus 5
QueryTaxID,TaxID,Rank,ScientificName
10596,10596,serotype,human papillomavirus 56
10596,10239,superkingdom,Viruses
10596,2731342,clade,Monodnaviria
10596,2732092,kingdom,Shotokuvirae
10596,2732415,phylum,Cossaviricota
10596,2732421,class,Papovaviricetes
10596,2732533,order,Zurhausenvirales
10596,151340,family,Papillomaviridae
10596,2169595,subfamily,Firstpapillomavirinae
10596,333750,genus,Alphapapillomavirus
10596,337050,species,Alphapapillomavirus 6
QueryTaxID,TaxID,Rank,ScientificName
10598,10598,serotype,human papillomavirus 58
10598,10239,superkingdom,Viruses
10598,2731342,clade,Monodnaviria
10598,2732092,kingdom,Shotokuvirae
10598,2732415,phylum,Cossaviricota
10598,2732421,class,Papovaviricetes
10598,2732533,order,Zurhausenvirales
10598,151340,family,Papillomaviridae
10598,2169595,subfamily,Firstpapillomavirinae
10598,333750,genus,Alphapapillomavirus
10598,337041,species,Alphapapillomavirus 9
QueryTaxID,TaxID,Rank,ScientificName
10599,10599,serotype,Human papillomavirus type 5b
10599,10239,superkingdom,Viruses
10599,2731342,clade,Monodnaviria
10599,2732092,kingdom,Shotokuvirae
10599,2732415,phylum,Cossaviricota
10599,2732421,class,Papovaviricetes
10599,2732533,order,Zurhausenvirales
10599,151340,family,Papillomaviridae
10599,2169595,subfamily,Firstpapillomavirinae
10599,333922,genus,Betapapillomavirus
10599,337051,species,Betapapillomavirus 1
QueryTaxID,TaxID,Rank,ScientificName
10600,10600,serotype,Human papillomavirus type 6b
10600,10239,superkingdom,Viruses
10600,2731342,clade,Monodnaviria
10600,2732092,kingdom,Shotokuvirae
10600,2732415,phylum,Cossaviricota
10600,2732421,class,Papovaviricetes
10600,2732533,order,Zurhausenvirales
10600,151340,family,Papillomaviridae
10600,2169595,subfamily,Firstpapillomavirinae
10600,333750,genus,Alphapapillomavirus
10600,333754,species,Alphapapillomavirus 10
QueryTaxID,TaxID,Rank,ScientificName
10601,10601,serotype,Human papillomavirus type 6c
10601,10239,superkingdom,Viruses
10601,2731342,clade,Monodnaviria
10601,2732092,kingdom,Shotokuvirae
10601,2732415,phylum,Cossaviricota
10601,2732421,class,Papovaviricetes
10601,2732533,order,Zurhausenvirales
10601,151340,family,Papillomaviridae
10601,2169595,subfamily,Firstpapillomavirinae
10601,333750,genus,Alphapapillomavirus
10601,333754,species,Alphapapillomavirus 10
QueryTaxID,TaxID,Rank,ScientificName
10602,10602,species,Human papillomavirus type me180
10602,10239,superkingdom,Viruses
10602,2731342,clade,Monodnaviria
10602,2732092,kingdom,Shotokuvirae
10602,2732415,phylum,Cossaviricota
10602,2732421,class,Papovaviricetes
10602,2732533,order,Zurhausenvirales
10602,151340,family,Papillomaviridae
10602,333774,no rank,unclassified Papillomaviridae
10602,173087,clade,Human papillomavirus types
QueryTaxID,TaxID,Rank,ScientificName
10604,10604,serotype,human papillomavirus 12
10604,10239,superkingdom,Viruses
10604,2731342,clade,Monodnaviria
10604,2732092,kingdom,Shotokuvirae
10604,2732415,phylum,Cossaviricota
10604,2732421,class,Papovaviricetes
10604,2732533,order,Zurhausenvirales
10604,151340,family,Papillomaviridae
10604,2169595,subfamily,Firstpapillomavirinae
10604,333922,genus,Betapapillomavirus
10604,337051,species,Betapapillomavirus 1
QueryTaxID,TaxID,Rank,ScientificName
10605,10605,serotype,human papillomavirus 14
10605,10239,superkingdom,Viruses
10605,2731342,clade,Monodnaviria
10605,2732092,kingdom,Shotokuvirae
10605,2732415,phylum,Cossaviricota
10605,2732421,class,Papovaviricetes
10605,2732533,order,Zurhausenvirales
10605,151340,family,Papillomaviridae
10605,2169595,subfamily,Firstpapillomavirinae
10605,333922,genus,Betapapillomavirus
10605,337051,species,Betapapillomavirus 1
QueryTaxID,TaxID,Rank,ScientificName
10606,10606,serotype,Human papillomavirus 15
10606,10239,superkingdom,Viruses
10606,2731342,clade,Monodnaviria
10606,2732092,kingdom,Shotokuvirae
10606,2732415,phylum,Cossaviricota
10606,2732421,class,Papovaviricetes
10606,2732533,order,Zurhausenvirales
10606,151340,family,Papillomaviridae
10606,2169595,subfamily,Firstpapillomavirinae
10606,333922,genus,Betapapillomavirus
10606,333924,species,Betapapillomavirus 2
